
--- 무선 수집 시작 (2026-07-11 20:50:13) ---
[2026-07-11 20:50:18] ⚠️ 송신기 센서 연결 상태 에러 (-999)
[2026-07-11 21:14:51] 🌡️ 온도: 28°C | 💧 습도: 35% | ☀️ 조도222
[2026-07-11 21:14:51] 🌡️ 온도: 28°C | 💧 습도: 35% | ☀️ 조도214
[2026-07-11 21:14:51] 🌡️ 온도: 28°C | 💧 습도: 34% | ☀️ 조도210
[2026-07-11 21:14:51] 🌡️ 온도: 28°C | 💧 습도: 35% | ☀️ 조도231
[2026-07-11 21:14:51] 🌡️ 온도: 28°C | 💧 습도: 35% | ☀️ 조도208
[2026-07-11 21:14:51] 🌡️ 온도: 28°C | 💧 습도: 35% | ☀️ 조도225
[2026-07-11 21:14:51] 🌡️ 온도: 28°C | 💧 습도: 35% | ☀️ 조도207
[2026-07-11 21:14:51] 🌡️ 온도: 28°C | 💧 습도: 35% | ☀️ 조도231
[2026-07-11 21:15:02] 🌡️ 온도: 28°C | 💧 습도: 35% | ☀️ 조도22
[2026-07-11 21:15:14] 🌡️ 온도: 28°C | 💧 습도: 35% | ☀️ 조도212
[2026-07-11 21:15:25] 🌡️ 온도: 2°C | 💧 습도: 35% | ☀️ 조도226
[2026-07-11 21:16:23] 🌡️ 온도: 8°C | 💧 습도: 35% | ☀️ 조도229
[2026-07-11 21:16:35] 🌡️ 온도: 28°C | 💧 습도: 35% | ☀️ 조도20
[2026-07-11 21:16:47] 🌡️ 온도: 28°C | 💧 습도: 35% | ☀️ 조도26
[2026-07-11 21:17:35] 🌡️ 온도: 28°C | 💧 습도: 3% | ☀️ 조도197
[2026-07-11 21:17:58] 🌡️ 온도: 28°C | 💧 습도: 5% | ☀️ 조도221
[2026-07-11 21:18:44] 🌡️ 온도: 28°C | 💧 습도: 35% | ☀️ 조도21
[2026-07-11 21:19:31] 🌡️ 온도: 28°C | 💧 습도: 35% | ☀️ 조도229
[2026-07-11 21:19:42] 🌡️ 온도: 28°C | 💧 습도: 35% | ☀️ 조도213
[2026-07-11 21:19:54] 🌡️ 온도: 28°C | 💧 습도: 35% | ☀️ 조도229
[2026-07-11 21:25:37] 🌡️ 온도: 28°C | 💧 습도: 35% | ☀️ 조도232
[2026-07-11 21:25:37] 🌡️ 온도: 28°C | 💧 습도: 36% | ☀️ 조도229
[2026-07-11 21:25:37] 🌡️ 온도: 28°C | 💧 습도: 35% | ☀️ 조도228
[2026-07-11 21:25:37] 🌡️ 온도: 28°C | 💧 습도: 35% | ☀️ 조도223
[2026-07-11 21:25:37] 🌡️ 온도: 28°C | 💧 습도: 35% | ☀️ 조도221
[2026-07-11 21:25:37] 🌡️ 온도: 28°C | 💧 습도: 35% | ☀️ 조도215
[2026-07-11 21:25:37] 🌡️ 온도: 28°C | 💧 습도: 35% | ☀️ 조도211
[2026-07-11 21:25:37] 🌡️ 온도: 28°C | 💧 습도: 35% | ☀️ 조도216
[2026-07-11 21:25:37] 🌡️ 온도: 28°C | 💧 습도: 35% | ☀️ 조도231
[2026-07-11 21:25:37] 🌡️ 온도: 28°C | 💧 습도: 35% | ☀️ 조도230
[2026-07-11 21:25:37] ⚠️ 송신기 센서 연결 상태 에러 (-999)
[2026-07-11 21:25:37] 🌡️ 온도: 28°C | 💧 습도: 36% | ☀️ 조도209
[2026-07-11 21:25:37] 🌡️ 온도: 28°C | 💧 습도: 36% | ☀️ 조도212
[2026-07-11 21:25:37] ⚠️ 송신기 센서 연결 상태 에러 (-999)
[2026-07-11 21:25:37] 🌡️ 온도: 28°C | 💧 습도: 36% | ☀️ 조도231
[2026-07-11 21:25:37] 🌡️ 온도: 28°C | 💧 습도: 36% | ☀️ 조도212
[2026-07-11 21:25:37] 🌡️ 온도: 28°C | 💧 습도: 37% | ☀️ 조도232
[2026-07-11 21:25:37] 🌡️ 온도: 28°C | 💧 습도: 36% | ☀️ 조도213
[2026-07-11 21:25:37] 🌡️ 온도: 28°C | 💧 습도: 36% | ☀️ 조도212
[2026-07-11 21:25:37] 🌡️ 온도: 28°C | 💧 습도: 36% | ☀️ 조도213
[2026-07-11 21:25:37] 🌡️ 온도: 28°C | 💧 습도: 36% | ☀️ 조도225
[2026-07-11 21:25:37] 🌡️ 온도: 28°C | 💧 습도: 36% | ☀️ 조도231
[2026-07-11 21:25:37] 🌡️ 온도: 28°C | 💧 습도: 36% | ☀️ 조도231
[2026-07-11 21:25:37] 🌡️ 온도: 28°C | 💧 습도: 36% | ☀️ 조도218
[2026-07-11 21:25:46] 🌡️ 온도: 28°C | 💧 습도: 36% | ☀️ 조도222
[2026-07-11 21:25:58] 🌡️ 온도: 28°C | 💧 습도: 36% | ☀️ 조도232
[2026-07-11 21:26:32] 🌡️ 온도: 28°C | 💧 습도: 36% | ☀️ 조도229
[2026-07-11 21:26:55] 🌡️ 온도: 28°C | 💧 습도: 36% | ☀️ 조도210
[2026-07-11 21:27:07] 🌡️ 온도: 8°C | 💧 습도: 36% | ☀️ 조도213
[2026-07-11 21:27:19] 🌡️ 온도: 28°C | 💧 습도: 36% | ☀️ 조도11
[2026-07-11 21:27:44] 🌡️ 온도: 28°C | 💧 습도: 36% | ☀️ 조도226
[2026-07-11 21:27:55] 🌡️ 온도: 28°C | 💧 습도: 37% | ☀️ 조도214
[2026-07-11 21:28:07] 🌡️ 온도: 28°C | 💧 습도: 36% | ☀️ 조도226
[2026-07-11 21:28:19] 🌡️ 온도: 28°C | 💧 습도: 36% | ☀️ 조도227
[2026-07-11 21:28:30] 🌡️ 온도: 28°C | 💧 습도: 6% | ☀️ 조도215
[2026-07-11 21:28:53] 🌡️ 온도: 8°C | 💧 습도: 35% | ☀️ 조도23
[2026-07-11 21:29:05] 🌡️ 온도: 28°C | 💧 습도: 35% | ☀️ 조도21
[2026-07-11 21:29:17] 🌡️ 온도: 28°C | 💧 습도: 3% | ☀️ 조도230
[2026-07-11 21:29:28] 🌡️ 온도: 28°C | 💧 습도: 35% | ☀️ 조도232
[2026-07-11 21:30:03] 🌡️ 온도: 28°C | 💧 습도: 35% | ☀️ 조도222
[2026-07-11 21:30:15] 🌡️ 온도: 28°C | 💧 습도: 36% | ☀️ 조도213
[2026-07-11 21:30:26] 🌡️ 온도: 28°C | 💧 습도: 35% | ☀️ 조도26

--- 무선 수집 시작 (2026-07-12 08:50:11) ---
[2026-07-12 08:50:23] 🌡️ 온도: 26°C | 💧 습도: 46% | ☀️ 조도220
[2026-07-12 08:50:46] 🌡️ 온도: 26°C | 💧 습도: 4% | ☀️ 조도220
[2026-07-12 08:50:58] 🌡️ 온도: 2°C | 💧 습도: 45% | ☀️ 조도219
[2026-07-12 08:51:56] 🌡️ 온도: 26°C | 💧 습도: 46% | ☀️ 조도220
[2026-07-12 08:52:19] 🌡️ 온도: 26°C | 💧 습도: 46% | ☀️ 조도21
[2026-07-12 08:52:30] 🌡️ 온도: 26°C | 💧 습도: 46% | ☀️ 조도217
[2026-07-12 08:53:05] ⚠️ 송신기 센서 연결 상태 에러 (-999)
[2026-07-12 08:53:19] 🌡️ 온도: 6°C | 💧 습도: 45% | ☀️ 조도22
[2026-07-12 08:53:30] 🌡️ 온도: 26°C | 💧 습도: 5% | ☀️ 조도219
[2026-07-12 08:53:42] 🌡️ 온도: 26°C | 💧 습도: 45% | ☀️ 조도24
[2026-07-12 08:53:54] 🌡️ 온도: 6°C | 💧 습도: 45% | ☀️ 조도26
[2026-07-12 08:54:05] 🌡️ 온도: 26°C | 💧 습도: 45% | ☀️ 조도219
[2026-07-12 08:54:28] 🌡️ 온도: 2°C | 💧 습도: 45% | ☀️ 조도218
[2026-07-12 08:54:52] 🌡️ 온도: 6°C | 💧 습도: 5% | ☀️ 조도215
[2026-07-12 08:55:03] 🌡️ 온도: 26°C | 💧 습도: 45% | ☀️ 조도221
[2026-07-12 08:55:15] 🌡️ 온도: 26°C | 💧 습도: 5% | ☀️ 조도220
[2026-07-12 08:55:26] 🌡️ 온도: 6°C | 💧 습도: 44% | ☀️ 조도17
[2026-07-12 09:19:56] ⚠️ 송신기 센서 연결 상태 에러 (-999)
[2026-07-12 09:20:10] 🌡️ 온도: 7°C | 💧 습도: 42% | ☀️ 조도206
[2026-07-12 09:20:21] 🌡️ 온도: 27°C | 💧 습도: 41% | ☀️ 조도206
[2026-07-12 09:20:32] 🌡️ 온도: 26°C | 💧 습도: 42% | ☀️ 조도23
